station_id,bikes_available,docks_available,time
58,6,13,2013/11/01 19:06:01
58,6,13,2013/11/01 19:08:01
58,6,13,2013/11/01 19:09:01
58,5,14,2014/01/31 11:07:01
58,5,14,2014/01/31 11:08:02
58,5,14,2014/01/31 11:09:03
58,5,14,2014/01/31 11:10:02
58,5,14,2014/01/31 11:11:02
59,10,13,2013/11/01 19:05:01
59,10,13,2013/11/01 19:06:01
59,10,13,2013/11/01 19:08:01
59,10,13,2013/11/01 19:09:01
59,10,13,2013/11/01 19:10:01
59,8,15,2014/01/31 11:08:02
59,8,15,2014/01/31 11:09:03
59,8,15,2014/01/31 11:10:02
59,8,15,2014/01/31 11:11:02
59,8,15,2014/01/31 11:12:02
60,7,8,2013/11/01 19:06:01
60,7,8,2013/11/01 19:08:01
60,7,8,2013/11/01 19:09:01
60,7,8,2013/11/01 19:10:01
60,7,8,2013/11/01 19:11:02
60,6,9,2014/01/31 11:09:03
60,6,9,2014/01/31 11:10:02
60,6,9,2014/01/31 11:11:02
60,6,9,2014/01/31 11:12:02
60,6,9,2014/01/31 11:13:02
61,8,15,2013/11/01 19:08:01
61,9,14,2013/11/01 19:09:01
61,9,14,2013/11/01 19:10:01
61,9,14,2013/11/01 19:11:02
61,9,14,2013/11/01 19:12:01
61,18,9,2014/01/31 11:10:02
61,18,9,2014/01/31 11:11:02
61,18,9,2014/01/31 11:12:02
61,18,9,2014/01/31 11:13:02
61,18,9,2014/01/31 11:14:03
62,12,7,2013/11/01 19:09:01
62,12,7,2013/11/01 19:10:01
62,12,7,2013/11/01 19:11:02
62,12,7,2013/11/01 19:12:01
62,12,7,2013/11/01 19:13:01
62,8,11,2014/01/31 11:11:02
62,8,11,2014/01/31 11:12:02
62,8,11,2014/01/31 11:13:02
62,8,11,2014/01/31 11:14:03
62,8,11,2014/01/31 11:15:02
63,14,5,2013/11/01 19:10:01
63,14,5,2013/11/01 19:11:02
63,14,5,2013/11/01 19:12:01
63,14,5,2013/11/01 19:13:01
63,14,5,2013/11/01 19:14:01
63,14,5,2014/01/31 11:12:02
63,14,5,2014/01/31 11:13:02
63,14,5,2014/01/31 11:14:03
63,14,5,2014/01/31 11:15:02
63,14,5,2014/01/31 11:16:02
64,2,13,2013/11/01 19:11:02
64,2,13,2013/11/01 19:12:01
64,2,13,2013/11/01 19:13:01
64,2,13,2013/11/01 19:14:01
64,2,13,2013/11/01 19:15:01
64,11,4,2014/01/31 11:13:02
64,11,4,2014/01/31 11:14:03
64,11,4,2014/01/31 11:15:02
64,11,4,2014/01/31 11:16:02
64,11,4,2014/01/31 11:17:02
65,4,11,2013/11/01 19:12:01
65,3,12,2013/11/01 19:13:01
65,3,12,2013/11/01 19:14:01
65,3,12,2013/11/01 19:15:01
65,3,12,2013/11/01 19:16:01
65,13,2,2014/01/31 11:14:03
65,13,2,2014/01/31 11:15:02
65,13,2,2014/01/31 11:16:02
65,13,2,2014/01/31 11:17:02
65,13,2,2014/01/31 11:18:02
66,15,4,2013/11/01 19:13:01
66,15,4,2013/11/01 19:14:01
66,15,4,2013/11/01 19:15:01
66,15,4,2013/11/01 19:16:01
66,15,4,2013/11/01 19:17:01
66,7,12,2014/01/31 11:15:02
66,7,12,2014/01/31 11:16:02
66,7,12,2014/01/31 11:17:02
66,7,12,2014/01/31 11:18:02
66,8,11,2014/01/31 11:19:02
67,3,24,2013/11/01 19:15:01
67,3,24,2013/11/01 19:16:01
67,3,24,2013/11/01 19:17:01
67,3,24,2013/11/01 19:18:01
67,3,24,2013/11/01 19:19:01
67,24,3,2014/01/31 11:17:02
67,24,3,2014/01/31 11:18:02
67,24,3,2014/01/31 11:19:02
67,24,3,2014/01/31 11:20:02
67,24,3,2014/01/31 11:21:02
68,8,11,2013/11/01 19:17:01
68,8,11,2013/11/01 19:18:01
68,9,10,2013/11/01 19:19:01
68,9,10,2013/11/01 19:20:02
68,9,10,2013/11/01 19:21:01
68,8,11,2014/01/31 11:19:02
68,8,11,2014/01/31 11:20:02
68,8,11,2014/01/31 11:21:02
68,8,11,2014/01/31 11:22:02
68,8,11,2014/01/31 11:23:03
69,17,6,2013/11/01 19:19:01
69,17,6,2013/11/01 19:20:02
69,16,7,2013/11/01 19:21:01
69,16,7,2013/11/01 19:22:01
69,16,7,2013/11/01 19:23:01
69,15,8,2014/01/31 11:21:02
69,15,8,2014/01/31 11:22:02
69,15,8,2014/01/31 11:23:03
69,14,9,2014/01/31 11:24:02
69,14,9,2014/01/31 11:25:02
70,15,4,2013/11/01 19:21:01
70,15,4,2013/11/01 19:22:01
70,15,4,2013/11/01 19:23:01
70,15,4,2013/11/01 19:24:01
70,15,4,2013/11/01 19:25:01
70,5,14,2014/01/31 11:23:03
70,5,14,2014/01/31 11:24:02
70,5,14,2014/01/31 11:25:02
70,5,14,2014/01/31 11:26:02
70,5,14,2014/01/31 11:27:02
71,13,6,2013/11/01 19:23:01
71,13,6,2013/11/01 19:24:01
71,13,6,2013/11/01 19:25:01
71,13,6,2013/11/01 19:26:01
71,13,6,2013/11/01 19:27:01
71,3,16,2014/01/31 11:25:02
71,3,16,2014/01/31 11:26:02
71,3,16,2014/01/31 11:27:02
71,3,16,2014/01/31 11:28:01
71,3,16,2014/01/31 11:29:02
72,6,17,2013/11/01 19:25:01
72,6,17,2013/11/01 19:26:01
72,6,17,2013/11/01 19:27:01
72,6,17,2013/11/01 19:28:01
72,6,17,2013/11/01 19:30:01
72,9,14,2014/01/31 11:27:02
72,9,14,2014/01/31 11:28:01
72,9,14,2014/01/31 11:29:02
72,9,14,2014/01/31 11:30:01
72,9,14,2014/01/31 11:31:02
73,13,2,2013/11/01 19:27:01
73,13,2,2013/11/01 19:28:01
73,13,2,2013/11/01 19:30:01
73,13,2,2013/11/01 19:31:01
73,13,2,2013/11/01 19:32:01
73,3,12,2014/01/31 11:29:02
73,3,12,2014/01/31 11:30:01
73,3,12,2014/01/31 11:31:02
73,3,12,2014/01/31 11:32:02
73,3,12,2014/01/31 11:33:03
74,16,3,2013/11/01 19:30:01
74,16,3,2013/11/01 19:31:01
74,16,3,2013/11/01 19:32:01
74,16,3,2013/11/01 19:33:01
74,16,3,2013/11/01 19:34:01
74,9,14,2014/01/31 11:31:02
74,9,14,2014/01/31 11:32:02
74,9,14,2014/01/31 11:33:03
74,9,14,2014/01/31 11:34:02
74,9,14,2014/01/31 11:35:03
75,4,15,2013/11/01 19:32:01
75,4,15,2013/11/01 19:33:01
75,4,15,2013/11/01 19:34:01
75,4,15,2013/11/01 19:35:02
75,4,15,2013/11/01 19:36:01
75,3,16,2014/01/31 11:33:03
75,3,16,2014/01/31 11:34:02
75,3,16,2014/01/31 11:35:03
75,3,16,2014/01/31 11:36:02
75,3,16,2014/01/31 11:37:02
